bookId=18dd676c7970568ce29d7dbb7f0d399e8f649e966f010c286f470a0cc9bea62d
title=The End of the Affair
metric=tf_idf
limit=1000
columns=rank lemma tf_idf_score total_count global_frequency_zipf

159	mallock	2.197225	8	
160	pendulum	2.196883	4	3.270000
161	suitcase	2.194905	5	3.550000
162	invent	2.194074	10	4.170000
163	cocktail	2.193811	7	3.890000
164	anybody	2.192056	20	4.560000
165	scrap	2.183414	7	3.900000
166	forster	2.180788	4	3.290000
167	bye	2.179980	14	4.390000
168	bell	2.179185	21	4.590000
169	sir	2.173737	101	5.060000
170	cease	2.164266	8	4.030000
171	lie	2.153872	40	4.840000
172	comfort	2.152900	14	4.410000
173	bore	2.152222	7	3.930000
174	sleeve	2.152222	7	3.930000
175	sight	2.149440	18	4.540000
176	thrower	2.148756	3	2.900000
177	priest	2.141733	12	4.330000
178	pavement	2.141153	5	3.610000
179	waiter	2.141153	5	3.610000
180	eternity	2.140501	6	3.800000
181	recognize	2.138875	17	4.520000
182	rattle	2.132505	4	3.350000
183	ring	2.132194	35	4.810000
184	damp	2.132194	5	3.620000
185	drank	2.131428	7	3.950000
186	sofa	2.130772	6	3.810000
187	macaulay	2.127962	3	2.930000
188	warden	2.123235	5	3.630000
189	despair	2.121042	6	3.820000
190	scent	2.121042	6	3.820000
191	tear	2.121030	15	4.470000
192	intimacy	2.114276	5	3.640000
193	devil	2.112171	11	4.300000
194	habit	2.110148	10	4.240000
195	wake	2.108742	29	4.760000
196	nearer	2.108364	4	3.380000
197	exist	2.104560	28	4.750000
198	statue	2.098349	8	4.090000
199	stupidly	2.093304	3	2.980000
200	abandonment	2.092269	4	3.400000
201	distrust	2.092269	4	3.400000
202	reading	2.091853	6	3.850000
203	materialistic	2.086373	3	2.990000
204	hate	2.083548	107	5.110000
205	curtain	2.082124	6	3.860000
206	envelope	2.082124	6	3.860000
207	finger	2.079442	15	4.500000
208	longe	2.079442	7	
209	ourselves	2.079442	7	
210	sirespect	2.079442	7	
211	dearest	2.076175	4	3.420000
212	empty	2.075829	18	4.590000
213	mirror	2.071658	14	4.470000
214	sympathy	2.069044	7	4.010000
215	alive	2.065967	27	4.760000
216	crucifix	2.065579	3	3.020000
217	piccadilly	2.065579	3	3.020000
218	wonder	2.059829	46	4.930000
219	james	2.058647	3	3.030000
220	profession	2.054405	8	4.130000
221	beside	2.052077	19	4.630000
222	evasive	2.051716	3	3.040000
223	streamer	2.051716	3	3.040000
224	hopeless	2.051565	5	3.710000
225	rob	2.050048	11	4.350000
226	exclaim	2.044784	3	3.050000
227	relic	2.043986	4	3.460000
228	angry	2.039830	20	4.660000
229	tube	2.037623	11	4.360000
230	bowler	2.027892	4	3.480000
231	glass	2.027657	33	4.850000
232	shook	2.027456	7	4.050000
233	remind	2.025199	11	4.370000
234	humiliate	2.023990	3	3.080000
235	v1	2.023990	3	3.080000
236	remorse	2.019845	4	3.490000
237	novel	2.016941	18	4.630000
238	forgive	2.014762	9	4.250000
239	macintosh	2.010127	3	3.100000
240	laugh	2.007141	19	4.660000
241	grey	2.005684	13	4.480000
242	letter	1.998498	44	4.950000
243	touch	1.996641	38	4.910000
244	absurd	1.994558	6	3.950000
245	tired	1.993722	21	4.710000
246	photograph	1.990253	10	4.340000
247	raid	1.988488	8	4.190000
248	strok	1.982401	3	3.140000
249	pleasure	1.982401	15	4.570000
250	hesitate	1.979894	5	3.790000
251	reply	1.979293	13	4.500000
252	steak	1.975099	6	3.970000
253	suspicion	1.975099	6	3.970000
254	belief	1.975011	12	4.460000
255	mrs	1.973218	34	4.890000
256	acquaintance	1.971561	4	3.550000
257	altar	1.970935	5	3.800000
258	fable	1.968538	3	3.160000
259	detective	1.966516	8	4.210000
260	nail	1.966516	8	4.210000
261	rain	1.963717	20	4.710000
262	abruptly	1.963514	4	3.560000
263	clergyman	1.961607	3	3.170000
264	affair	1.958052	18	4.670000
265	drink	1.955441	34	4.900000
266	somebody	1.954858	25	4.800000
267	cry	1.954675	15	4.590000
268	cliché	1.947744	3	3.190000
269	door	1.947689	68	5.080000
270	silently	1.947420	4	3.580000
271	staircase	1.947420	4	3.580000
272	downstairs	1.945910	6	
273	e.	1.945910	6	
274	firmly	1.945910	6	4.000000
275	gloomily	1.945910	6	
276	handwriting	1.945910	6	
277	pontefract	1.945910	6	
278	remembe	1.945910	6	
279	scared	1.945910	6	
280	unconscious	1.945910	6	
281	sandwich	1.944278	7	4.130000
282	pain	1.943557	54	5.030000
283	occasion	1.942295	10	4.380000
284	repeat	1.936537	12	4.490000
285	craftsman	1.926949	3	3.220000
286	interrupt	1.926141	5	3.850000
287	intention	1.922659	9	4.330000
288	powder	1.922572	8	4.250000
289	catch	1.921677	29	4.870000
290	unimportant	1.920018	3	3.230000
291	abandon	1.918316	10	4.400000
292	ill	1.917269	19	4.720000
293	dinner	1.912651	22	4.780000
294	squash	1.907184	4	3.630000
295	sadness	1.899265	5	3.880000
296	crouch	1.899223	3	3.260000
297	pill	1.897262	6	4.050000
298	eye	1.896888	47	5.020000
299	exhilaration	1.895106	2	2.550000
300	ugly	1.894337	10	4.420000
301	bolton	1.891090	4	3.650000
302	deception	1.891090	4	3.650000
303	loneliness	1.891090	4	3.650000
304	bury	1.890306	5	3.890000
305	fond	1.890306	5	3.890000
306	unwillingly	1.889613	2	2.560000
307	unwrap	1.889613	2	2.560000
308	detect	1.887533	6	4.060000
309	happier	1.887533	6	4.060000
310	intimate	1.887533	6	4.060000
311	speak	1.887533	48	5.030000
312	puzzl	1.885360	3	3.280000
313	flat	1.884441	18	4.720000
314	meaning	1.883042	4	3.660000
315	taxi	1.881895	7	4.190000
316	gesture	1.881347	5	3.900000
317	miserable	1.877803	6	4.070000
318	floater	1.873134	2	2.590000
319	typescript	1.873134	2	2.590000
320	nobody	1.866558	34	4.950000
321	affection	1.863430	5	3.920000
322	lend	1.863430	5	3.920000
323	cigarette	1.858344	6	4.090000
324	diary	1.858344	6	4.090000
325	receiver	1.858344	6	4.090000
326	ruin	1.856655	8	4.310000
327	alcove	1.856655	2	2.620000
328	dial	1.854471	5	3.930000
329	bother	1.853581	9	4.390000
330	lifetime	1.853581	9	4.390000
331	teach	1.849838	17	4.720000
332	tore	1.842806	4	3.710000
333	unexpectedly	1.842806	4	3.710000
334	lod	1.840176	2	2.650000
335	vulgarity	1.840176	2	2.650000
336	sha	1.836840	3	3.350000
337	walk	1.834933	53	5.080000
338	pretend	1.834683	8	4.330000
339	implor	1.834683	2	2.660000
340	quiet	1.827934	14	4.650000
341	conscience	1.827595	5	3.960000
342	bear	1.827423	16	4.710000
343	baptize	1.823696	2	2.680000
